*************************************
******** FILLER_TEST RESULTS ********
*************************************

*** carli VS tle-dieu - map00 ***
../tle-dieu.filler won - 146AGAINST30
../tle-dieu.filler won - 137AGAINST25
../tle-dieu.filler won - 149AGAINST16
../tle-dieu.filler won - 143AGAINST27
../tle-dieu.filler won - 159AGAINST16
../tle-dieu.filler won - 135AGAINST39
players/carli.filler won - 70AGAINST98
../tle-dieu.filler won - 133AGAINST27
../tle-dieu.filler won - 136AGAINST41
../tle-dieu.filler won - 126AGAINST50
../tle-dieu.filler won - 133AGAINST35
../tle-dieu.filler won - 145AGAINST17
../tle-dieu.filler won - 136AGAINST14
../tle-dieu.filler won - 122AGAINST51
../tle-dieu.filler won - 144AGAINST20
../tle-dieu.filler won - 140AGAINST34
../tle-dieu.filler won - 131AGAINST33
../tle-dieu.filler won - 155AGAINST5
../tle-dieu.filler won - 144AGAINST22
../tle-dieu.filler won - 147AGAINST7
../tle-dieu.filler won - 148AGAINST21
../tle-dieu.filler won - 125AGAINST23
../tle-dieu.filler won - 132AGAINST38
../tle-dieu.filler won - 111AGAINST52
../tle-dieu.filler won - 135AGAINST22
../tle-dieu.filler won - 133AGAINST22
../tle-dieu.filler won - 145AGAINST13
../tle-dieu.filler won - 122AGAINST54
../tle-dieu.filler won - 145AGAINST30
../tle-dieu.filler won - 164AGAINST8
../tle-dieu.filler won - 170AGAINST8
../tle-dieu.filler won - 122AGAINST59
../tle-dieu.filler won - 133AGAINST28
../tle-dieu.filler won - 140AGAINST24
../tle-dieu.filler won - 132AGAINST31
../tle-dieu.filler won - 143AGAINST37
../tle-dieu.filler won - 165AGAINST12
../tle-dieu.filler won - 121AGAINST44
../tle-dieu.filler won - 143AGAINST17
../tle-dieu.filler won - 149AGAINST20
../tle-dieu.filler won - 125AGAINST42
../tle-dieu.filler won - 131AGAINST38
../tle-dieu.filler won - 141AGAINST19
../tle-dieu.filler won - 137AGAINST20
../tle-dieu.filler won - 162AGAINST15
../tle-dieu.filler won - 155AGAINST17
../tle-dieu.filler won - 106AGAINST26
../tle-dieu.filler won - 128AGAINST36
../tle-dieu.filler won - 145AGAINST29
../tle-dieu.filler won - 157AGAINST5

[1;33mtle-dieu   99/100[m
[mcarli      1/100[m
